,Name,Type_1,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Generation,isLegendary,Color,hasGender,Pr_Male,Egg_Group_1,hasMegaEvolution,Height_m,Weight_kg,Catch_Rate,Body_Style
301,Sableye,1,86,21,50,48,41,37,29,2,0,6,1,3,8,1,4,80,5,1
302,Mawile,16,86,21,59,57,31,27,29,2,0,0,1,3,5,1,5,82,5,1
303,Aron,16,64,21,45,67,17,13,10,2,0,4,1,3,10,0,3,250,25,9
304,Lairon,16,107,31,64,88,27,22,19,2,0,4,1,3,10,0,9,325,13,9
305,Aggron,16,167,41,81,93,36,32,29,2,0,4,1,3,10,1,21,387,5,0
306,Meditite,5,33,5,15,29,17,27,37,2,0,1,1,3,8,0,5,81,25,1
307,Medicham,5,96,31,35,48,36,45,57,2,0,7,1,3,8,1,13,167,13,1
308,Electrike,3,41,12,20,15,41,13,42,2,0,3,1,3,5,0,5,97,15,9
309,Manectric,3,135,41,50,34,73,32,79,2,0,9,1,3,5,1,15,197,5,9
310,Plusle,3,94,31,25,15,58,45,70,2,0,9,1,3,4,0,3,32,27,0
311,Minun,3,94,31,15,24,50,54,70,2,0,9,1,3,4,0,3,32,27,0
312,Volbeat,0,92,36,48,29,24,45,62,2,0,4,1,7,1,0,6,108,21,0
313,Illumise,0,92,36,22,29,48,45,62,2,0,6,1,0,1,0,5,108,21,1
314,Roselia,9,92,21,35,20,70,50,42,2,0,3,1,3,4,0,2,14,21,1
315,Gulpin,13,44,41,18,27,20,25,19,2,0,3,1,3,0,0,3,75,30,3
316,Swalot,13,128,66,48,55,48,53,32,2,0,6,1,3,0,0,17,278,11,3
317,Carvanha,17,47,17,64,3,41,0,42,2,0,7,1,3,13,0,7,125,30,13
318,Sharpedo,17,122,41,85,15,66,13,70,2,0,1,1,3,13,1,18,297,8,13
319,Wailmer,17,92,83,45,11,45,8,37,2,0,1,1,3,5,0,20,329,16,13
320,Wailord,17,152,90,64,20,62,18,37,2,0,1,1,3,5,0,49,388,8,13
321,Numel,6,47,31,35,15,41,18,15,2,0,9,1,3,5,0,6,140,32,9
322,Camerupt,6,122,41,72,44,73,45,19,2,0,7,1,3,5,1,19,366,21,9
323,Torkoal,6,130,41,59,88,58,41,3,2,0,2,1,3,5,0,4,279,13,9
324,Spoink,14,64,31,7,11,45,50,37,2,0,0,1,3,5,0,6,165,32,3
325,Grumpig,14,130,51,20,39,62,73,57,2,0,6,1,3,5,0,9,268,8,0
326,Spinda,12,78,31,35,34,36,32,37,2,0,2,1,3,5,0,11,35,32,0
327,Trapinch,10,38,17,72,20,22,18,1,2,0,2,1,3,1,0,6,96,32,7
328,Vibrava,10,68,21,45,24,27,22,47,2,0,3,1,3,1,0,11,98,15,2
329,Flygon,10,162,51,72,53,55,50,74,2,0,3,1,3,1,0,20,285,5,12
330,Cacnea,9,66,21,59,15,58,13,15,2,0,3,1,3,7,0,3,229,26,1
331,Cacturne,9,135,41,83,34,82,32,32,2,0,3,1,3,7,0,13,275,8,1
332,Swablu,12,52,17,15,34,17,45,29,2,0,1,1,3,6,0,3,8,32,12
333,Altaria,2,146,46,45,62,45,69,57,2,0,1,1,3,6,1,11,124,5,12
334,Zangoose,12,121,44,83,34,36,32,66,2,0,8,1,3,5,0,13,198,13,0
335,Seviper,13,121,44,72,34,70,32,42,2,0,0,1,3,5,0,27,233,13,10
336,Lunatone,15,111,41,30,39,66,54,47,2,0,9,0,4,9,0,10,348,5,6
337,Solrock,15,111,41,69,57,31,37,47,2,0,7,0,4,9,0,12,344,5,6
338,Barboach,17,36,21,23,18,23,14,37,2,0,4,1,3,13,0,3,13,26,13
339,Whiscash,17,129,74,53,47,51,42,37,2,0,1,1,3,13,0,9,138,11,13
340,Corphish,17,50,15,54,39,27,8,15,2,0,7,1,3,12,0,5,82,28,7
341,Crawdaunt,17,129,34,85,57,62,27,32,2,0,7,1,3,12,0,11,173,22,7
342,Baltoy,10,43,12,15,29,17,41,32,2,0,2,0,4,9,0,4,129,32,3
343,Claydol,10,152,31,45,70,45,77,52,2,0,0,0,4,9,0,15,320,13,3
344,Lileep,15,76,37,16,50,37,56,5,2,0,6,1,6,14,0,10,139,5,4
345,Cradily,15,148,57,55,65,56,71,22,2,0,3,1,6,14,0,15,251,5,4
346,Anorith,15,76,17,69,24,17,22,52,2,0,4,1,6,14,0,6,87,5,7
347,Armaldo,15,148,46,89,67,45,50,24,2,0,4,1,6,14,0,15,263,5,0
348,Feebas,17,5,2,2,3,0,27,57,2,0,2,1,3,12,0,5,53,32,13
349,Milotic,17,171,63,35,52,70,79,58,2,0,5,1,3,12,0,43,347,8,10
350,Castform,12,102,41,45,44,45,41,47,2,0,8,1,3,4,0,2,4,5,6
351,Kecleon,12,111,31,64,44,36,77,19,2,0,3,1,3,5,0,10,131,27,0
352,Shuppet,8,41,16,50,11,39,6,24,2,0,0,1,3,0,0,5,17,30,6
353,Banette,8,119,35,83,39,57,35,42,2,0,0,1,3,0,1,11,87,5,0
354,Duskull,8,41,2,15,62,8,59,7,2,0,0,1,3,0,0,7,96,26,3
355,Dusclops,8,119,12,45,84,36,82,7,2,0,0,1,3,0,0,16,165,13,1
356,Tropius,9,122,65,43,55,47,56,30,2,0,3,1,3,10,0,20,311,27,9
357,Chimecho,14,105,36,25,44,66,50,42,2,0,1,1,3,0,0,5,6,5,3
358,Absol,1,126,36,91,34,50,32,52,2,0,8,1,3,5,1,12,218,3,9
359,Wynaut,14,22,63,5,22,3,20,5,2,0,1,1,3,11,0,5,92,16,0
360,Snorunt,11,43,21,25,24,27,22,29,2,0,4,1,3,4,0,6,104,26,1
361,Glalie,11,137,51,54,53,55,50,57,2,0,4,1,3,4,1,15,372,11,6
362,Spheal,11,38,41,15,24,31,22,7,2,0,1,1,3,12,0,7,195,32,13
363,Sealeo,11,96,60,35,44,50,41,24,2,0,1,1,3,12,0,11,295,15,13
364,Walrein,11,167,74,54,62,66,59,42,2,0,1,1,3,12,0,14,342,5,9
365,Clamperl,17,70,7,39,57,49,27,12,2,0,1,1,3,12,0,3,233,32,6
366,Huntail,17,142,26,75,70,65,45,31,2,0,1,1,3,12,0,17,153,8,10
367,Gorebyss,17,142,26,58,70,81,45,31,2,0,5,1,3,12,0,18,133,8,10
368,Relicanth,17,142,66,64,84,22,37,32,2,0,4,1,6,12,0,10,136,2,13
369,Luvdisc,17,64,15,10,29,17,37,71,2,0,5,1,2,13,0,5,65,30,13
370,Bagon,2,43,17,50,34,17,3,29,2,0,1,1,3,3,0,5,206,5,1
371,Shelgon,2,102,36,69,67,36,22,29,2,0,8,1,3,3,0,11,322,5,9
372,Salamence,2,178,63,94,53,78,50,74,2,0,1,1,3,3,1,15,315,5,9
373,Beldum,16,43,12,30,53,12,32,10,2,0,1,0,4,9,0,5,306,0,4
374,Metang,16,102,31,50,67,31,50,29,2,0,1,0,4,9,0,12,359,0,3
375,Metagross,16,178,51,94,84,66,59,47,2,0,1,0,4,9,1,16,394,0,8
376,Regirock,15,177,51,72,95,27,66,29,2,1,2,0,4,11,0,17,368,0,1
377,Regice,11,177,51,25,67,70,88,29,2,1,1,0,4,11,0,18,349,0,1
378,Registeel,16,177,51,50,90,50,86,29,2,1,4,0,4,11,0,19,361,0,1
379,Latias,2,178,51,54,62,78,82,83,2,1,7,1,0,11,1,14,196,0,12
380,Latios,2,178,51,64,53,88,73,83,2,1,1,1,7,11,1,20,250,0,12
381,Kyogre,17,180,66,72,62,92,85,66,2,1,1,0,4,11,0,38,386,0,13
382,Groudon,10,180,66,97,88,70,59,66,2,1,7,0,4,11,0,33,397,0,0
383,Rayquaza,2,181,70,97,62,92,59,70,2,1,3,0,4,11,1,46,362,5,10
384,Jirachi,16,178,66,72,67,70,66,74,2,1,9,0,4,11,0,2,7,0,1
385,Deoxys,14,178,21,97,24,92,22,99,2,1,7,0,4,11,0,17,253,0,1
386,Turtwig,9,57,26,43,38,22,27,11,3,0,3,1,6,10,0,3,74,5,9
387,Grotle,9,94,46,63,57,31,37,16,3,0,3,1,6,10,0,11,309,5,9
388,Torterra,9,165,63,80,70,50,54,33,3,0,3,1,6,10,0,22,379,5,9
389,Chimchar,6,51,16,33,19,34,17,38,3,0,2,1,6,5,0,4,44,5,0
390,Monferno,6,94,35,53,26,53,24,58,3,0,2,1,6,5,0,9,131,5,0
391,Infernape,6,169,47,75,45,72,42,81,3,0,2,1,6,5,0,12,238,5,0
392,Piplup,17,54,24,26,27,37,28,19,3,0,1,1,6,12,0,3,36,5,1
393,Prinplup,17,94,35,41,42,56,46,29,3,0,1,1,6,12,0,7,134,5,0
394,Empoleon,17,167,55,60,60,79,67,37,3,0,1,1,6,12,0,17,288,5,0
395,Starly,12,17,12,30,7,8,3,37,3,0,2,1,3,6,0,2,14,32,12
396,Staravia,12,68,26,50,24,17,13,57,3,0,2,1,3,6,0,5,99,15,12
397,Staraptor,12,142,56,85,44,27,32,74,3,0,2,1,3,6,0,12,144,5,12
398,Bidoof,12,18,30,20,15,12,13,11,3,0,2,1,3,12,0,4,119,32,9
399,Bibarel,12,96,50,59,34,31,32,48,3,0,2,1,3,12,0,10,167,17,0
400,Kricketot,0,2,9,7,16,5,14,7,3,0,7,1,3,1,0,2,16,32,1
401,Kricketune,0,88,48,59,25,31,23,42,3,0,7,1,3,1,0,10,148,5,2
402,Shinx,3,24,17,40,10,17,7,24,3,0,1,1,3,5,0,4,70,31,9
403,Luxio,3,80,31,59,23,36,21,37,3,0,1,1,3,5,0,9,164,15,9
404,Luxray,3,164,51,85,52,66,49,47,3,0,1,1,3,5,0,14,205,5,9
405,Budew,9,33,12,10,11,27,41,32,3,0,3,1,3,11,0,1,8,32,1
406,Roserade,9,159,31,45,39,85,69,66,3,0,3,1,3,4,0,9,94,11,1
407,Cranidos,15,73,38,89,15,8,3,35,3,0,1,1,6,10,0,9,167,5,0
408,Rampardos,15,148,64,99,34,41,22,35,3,0,1,1,6,10,0,16,314,5,0
409,Shieldon,15,73,5,17,77,19,57,10,3,0,4,1,6,10,0,4,244,5,9
410,Bastiodon,15,148,31,27,92,24,84,10,3,0,4,1,6,10,0,13,339,5,9
411,Burmy,0,12,12,9,20,7,18,16,3,0,4,1,3,1,0,1,26,15,4
412,Wormadam,0,104,31,34,57,54,69,16,3,0,4,1,0,1,0,4,47,5,4
413,Mothim,0,104,41,68,24,65,22,43,3,0,9,1,7,1,0,9,135,5,2
414,Combee,0,16,5,10,17,8,15,47,3,0,9,1,6,1,0,2,39,15,8
415,Vespiquen,0,134,41,54,68,55,68,19,3,0,9,1,0,1,0,12,192,5,2
416,Pachirisu,3,94,31,20,44,22,59,70,3,0,8,1,3,5,0,3,29,27,9
417,Buizel,17,64,26,40,11,36,3,62,3,0,2,1,3,12,0,6,160,26,9
418,Floatzel,17,148,56,76,29,58,22,88,3,0,2,1,3,12,0,11,177,11,9
419,Cherubi,9,31,17,12,20,38,25,15,3,0,5,1,3,4,0,3,25,26,8
420,Cherrim,9,116,41,35,44,60,48,62,3,0,5,1,3,4,0,4,68,11,5
421,Shellos,17,61,47,23,22,33,34,14,3,0,6,1,3,12,0,2,45,26,10
422,Gastrodon,17,135,75,57,42,64,52,18,3,0,6,1,3,12,0,9,162,11,10
423,Ambipom,12,139,46,72,40,36,38,88,3,0,6,1,3,5,0,12,122,5,0
424,Drifloon,8,71,60,25,10,36,17,47,3,0,6,1,3,0,0,3,8,16,3
425,Drifblim,8,150,87,54,19,62,26,57,3,0,6,1,3,0,0,12,96,8,3
426,Buneary,12,73,26,41,19,21,28,62,3,0,2,1,3,5,0,3,39,26,0
427,Lopunny,12,137,36,51,56,30,63,79,3,0,2,1,3,5,1,12,175,8,0
428,Mismagius,8,148,31,35,34,73,69,79,3,0,6,1,3,0,0,9,33,5,6
429,Honchkrow,1,153,66,89,26,73,24,48,3,0,0,1,3,6,0,9,154,3,12
430,Glameow,12,52,20,30,17,19,10,62,3,0,4,1,2,5,0,4,29,26,9
431,Purugly,12,117,42,56,38,40,31,85,3,0,4,1,2,5,0,10,209,11,9
432,Chingling,14,35,17,10,24,41,22,24,3,0,9,1,3,11,0,1,3,15,1
433,Stunky,13,63,34,38,21,18,14,51,3,0,6,1,3,5,0,3,114,30,9
434,Skuntank,13,136,68,67,41,46,33,61,3,0,6,1,3,5,0,10,191,8,9
435,Bronzor,16,43,28,6,58,4,55,5,3,0,3,0,4,9,0,4,252,32,6
436,Bronzong,16,152,38,63,76,54,76,13,3,0,3,0,4,9,0,13,352,13,3
437,Bonsly,15,38,21,54,64,0,18,1,3,0,2,1,3,11,0,4,96,32,5
438,Mime_Jr.,14,52,2,7,20,45,59,37,3,0,5,1,3,11,0,5,88,20,1
439,Happiny,12,11,66,0,0,1,37,10,3,0,5,1,0,11,0,5,142,18,1
440,Chatot,12,97,47,40,20,64,15,67,3,0,0,1,3,6,0,4,13,3,12
441,Spiritomb,8,142,21,66,72,64,72,15,3,0,6,1,3,0,0,10,320,14,4
442,Gible,2,43,29,45,20,17,18,21,3,0,1,1,3,10,0,6,123,5,0
443,Gabite,2,96,39,64,39,27,27,59,3,0,1,1,3,10,0,14,242,5,0
444,Garchomp,2,178,72,91,64,55,54,76,3,0,1,1,3,10,1,19,305,5,0
445,Munchlax,12,90,84,59,15,17,54,0,3,0,0,1,6,11,0,5,316,6,1
446,Riolu,5,35,12,45,15,12,13,37,3,0,1,1,6,11,0,6,121,11,0
447,Lucario,5,165,41,81,44,82,41,66,3,0,1,1,6,5,1,12,236,5,0
448,Hippopotas,10,64,39,47,51,15,15,12,3,0,2,1,3,5,0,7,223,19,9
449,Hippowdon,10,165,72,82,77,43,43,26,3,0,2,1,3,5,0,20,377,8,9
450,Skorupi,13,64,12,25,62,8,27,42,3,0,6,1,3,1,0,7,85,15,7
451,Drapion,13,152,41,64,73,36,45,70,3,0,6,1,3,1,0,13,255,5,7
452,Croagunk,13,43,19,36,15,37,13,29,3,0,1,1,3,8,0,6,134,19,1
453,Toxicroak,13,146,54,77,39,59,37,62,3,0,1,1,3,8,0,13,211,11,1
454,Carnivine,9,118,45,72,46,62,43,25,3,0,3,1,3,7,0,14,153,27,11
455,Finneon,17,64,20,24,30,26,33,43,3,0,1,1,3,13,0,3,50,26,13
456,Lumineon,17,122,40,44,49,44,55,67,3,0,1,1,3,13,0,12,140,11,13
457,Mantyke,17,70,17,3,24,36,77,29,3,0,1,1,3,11,0,10,259,2,12
458,Snover,9,65,31,37,24,38,32,19,3,0,8,1,3,10,0,10,227,15,0
459,Abomasnow,9,147,60,66,48,64,54,37,3,0,8,1,3,10,1,22,333,8,0
460,Weavile,1,157,41,85,39,22,54,94,3,0,0,1,3,5,0,11,179,5,0
461,Magnezone,3,170,41,45,75,88,59,37,3,0,4,0,4,9,0,12,351,3,3
462,Lickilicky,12,159,74,59,64,55,62,29,3,0,5,1,3,10,0,17,337,3,1
463,Rhyperior,10,170,77,95,84,31,27,19,3,0,4,1,3,10,0,24,375,3,0
464,Tangrowth,9,170,66,72,82,78,22,29,3,0,1,1,3,7,0,20,328,3,1
465,Electivire,3,171,46,87,41,66,54,70,3,0,9,1,5,8,0,18,335,3,0
466,Magmortar,6,171,46,69,41,85,62,60,3,0,7,1,5,8,0,16,262,3,0
467,Togekiss,4,172,56,25,64,84,75,57,3,0,8,1,6,6,0,15,191,3,12
468,Yanmega,0,159,57,51,58,83,28,70,3,0,3,1,3,1,0,19,230,3,2
469,Leafeon,9,165,36,81,84,36,37,70,3,0,3,1,6,5,0,10,148,5,9
470,Glaceon,11,165,36,35,73,88,62,42,3,0,1,1,6,5,0,7,149,5,9
471,Gliscor,10,157,46,69,82,22,45,70,3,0,6,1,3,1,0,20,208,3,12
472,Mamoswine,11,167,74,91,53,45,32,57,3,0,2,1,3,5,0,25,376,6,9
473,Porygon-Z,12,170,56,54,44,90,45,66,3,0,7,0,4,9,0,9,179,3,3
474,Gallade,14,160,39,89,39,41,75,57,3,0,8,1,7,0,1,16,231,5,1
475,Probopass,15,165,31,30,89,50,86,19,3,0,4,1,3,9,0,14,384,8,8
476,Dusknoir,8,165,17,72,87,41,83,24,3,0,0,1,3,0,0,22,318,5,3
477,Froslass,11,137,41,54,44,55,41,83,3,0,8,1,0,4,0,13,152,11,3
478,Rotom,3,111,21,25,50,66,47,67,3,0,7,0,4,0,0,2,1,5,6
479,Uxie,14,177,46,50,84,50,82,70,3,1,9,0,4,11,0,2,1,0,0
480,Mesprit,14,177,51,76,70,73,69,57,3,1,5,0,4,11,0,2,1,0,0
481,Azelf,14,177,46,89,44,85,41,88,3,1,1,0,4,11,0,2,1,0,0
482,Dialga,16,181,66,85,79,92,66,66,3,1,8,0,4,11,0,41,396,0,9
483,Palkia,17,181,60,85,67,92,77,74,3,1,6,0,4,11,0,37,383,0,0
484,Heatran,6,178,61,64,71,88,70,54,3,1,2,1,3,11,0,17,391,0,9
485,Regigigas,12,180,74,98,73,55,73,74,3,1,8,0,4,11,0,34,390,0,1
486,Giratina,8,181,87,85,67,84,66,66,3,1,0,0,4,11,0,45,395,0,10
487,Cresselia,14,178,79,45,79,50,82,62,3,0,9,1,0,11,0,15,292,0,10
488,Phione,17,137,51,54,53,55,50,57,3,0,1,0,4,12,0,3,23,3,3
489,Manaphy,17,178,66,72,67,70,66,74,3,0,1,0,4,12,0,2,9,0,1
490,Darkrai,1,178,41,64,62,90,59,94,3,1,0,0,4,11,0,15,227,0,1
491,Shaymin,9,178,66,72,67,70,66,74,3,1,3,0,4,11,0,1,15,5,9
492,Arceus,12,182,79,85,79,84,77,91,3,1,4,0,4,11,0,31,380,0,9
493,Victini,14,178,66,72,67,70,66,74,4,1,9,0,4,11,0,3,30,0,1
494,Snivy,9,50,17,20,29,22,27,40,4,0,3,1,6,5,0,5,60,5,0
495,Servine,9,98,31,35,48,36,45,60,4,0,3,1,6,5,0,7,101,5,0
496,Serperior,9,166,46,50,64,50,62,86,4,0,3,1,6,5,0,32,257,5,10
497,Tepig,6,50,36,38,20,22,18,24,4,0,7,1,6,5,0,4,71,5,9
498,Pignite,6,101,60,67,29,45,27,32,4,0,7,1,6,5,0,10,240,5,0
499,Emboar,6,166,74,87,39,70,37,42,4,0,7,1,6,5,0,16,340,5,0
500,Oshawott,17,50,26,30,20,39,18,24,4,0,1,1,6,5,0,4,42,5,0
501,Dewott,17,98,46,50,34,57,32,37,4,0,1,1,6,5,0,7,143,5,0
502,Samurott,17,166,63,72,57,76,41,47,4,0,1,1,6,5,0,15,304,5,9
503,Patrat,12,21,17,30,14,12,12,21,4,0,2,1,3,5,0,4,83,32,9
504,Watchog,12,102,31,59,43,36,40,54,4,0,2,1,3,5,0,11,153,32,0
505,Lillipup,12,31,17,35,20,5,18,32,4,0,2,1,3,5,0,3,31,32,9
506,Herdier,12,83,36,54,39,12,37,37,4,0,4,1,3,5,0,9,95,15,9
507,Stoutland,12,152,56,81,62,22,59,57,4,0,4,1,3,5,0,12,254,5,9
508,Purrloin,1,34,13,25,12,27,10,43,4,0,6,1,3,5,0,3,73,32,9
509,Liepard,1,114,35,62,24,61,22,80,4,0,6,1,3,5,0,11,190,13,9
510,Pansage,9,56,21,28,22,29,20,41,4,0,3,1,6,5,0,5,77,26,0
511,Simisage,9,150,46,71,37,68,35,75,4,0,3,1,6,5,0,11,164,11,0
512,Pansear,6,56,21,28,22,29,20,41,4,0,7,1,6,5,0,5,80,26,0
513,Simisear,6,150,46,71,37,68,35,75,4,0,7,1,6,5,0,10,155,11,0
514,Panpour,17,56,21,28,22,29,20,41,4,0,1,1,6,5,0,5,90,26,0
515,Simipour,17,150,46,71,37,68,35,75,4,0,1,1,6,5,0,10,159,11,0
516,Munna,14,39,47,7,20,42,27,6,4,0,5,1,3,5,0,5,135,26,9
517,Musharna,14,143,78,30,57,75,62,9,4,0,5,1,3,5,0,11,252,11,1
518,Pidove,12,25,21,30,24,13,3,22,4,0,4,1,3,6,0,2,15,32,12
519,Tranquill,12,77,33,52,36,27,15,42,4,0,4,1,3,6,0,5,96,15,12
520,Unfezant,12,144,51,83,53,41,27,69,4,0,4,1,3,6,0,12,159,5,12
521,Blitzle,3,41,17,35,8,27,5,53,4,0,0,1,3,5,0,7,161,26,9
522,Zebstrika,3,149,46,72,37,55,35,89,4,0,0,1,3,5,0,16,277,11,9
523,Roggenrola,15,33,26,50,57,5,2,2,4,0,1,1,3,9,0,3,109,32,5
524,Boldore,15,90,41,76,70,27,13,3,4,0,1,1,3,9,0,9,313,15,11
525,Gigalith,15,159,56,94,84,36,50,7,4,0,1,1,3,9,0,17,373,5,11
526,Woobat,14,53,26,20,18,31,16,49,4,0,1,1,3,5,0,3,15,26,12
527,Swoobat,14,105,38,32,29,52,27,87,4,0,1,1,3,5,0,9,77,5,12
528,Drilbur,10,62,31,59,15,8,18,45,4,0,4,1,3,5,0,2,63,15,0
529,Excadrill,10,155,74,94,34,27,37,64,4,0,4,1,3,5,0,6,199,8,1
530,Audino,12,113,68,35,58,36,55,29,4,0,5,1,3,4,1,11,166,32,0
531,Timburr,5,47,46,54,29,5,8,15,4,0,4,1,5,8,0,5,87,25,1
532,Gurdurr,5,94,56,76,57,17,22,19,4,0,4,1,5,8,0,12,196,13,1
533,Conkeldurr,5,153,70,95,64,31,37,24,4,0,4,1,5,8,0,14,294,5,1
534,Tympole,17,40,21,25,15,27,13,41,4,0,1,1,3,12,0,4,34,32,13
535,Palpitoad,17,88,46,40,29,41,27,46,4,0,1,1,3,12,0,7,105,15,0
536,Seismitoad,17,156,70,69,48,58,45,51,4,0,1,1,3,12,0,15,256,5,1
537,Throh,5,126,79,72,57,8,54,24,4,0,7,1,7,8,0,13,240,5,1
538,Sawk,5,126,46,89,48,8,45,62,4,0,1,1,7,8,0,14,228,5,1
539,Sewaddle,0,52,17,28,44,17,32,21,4,0,9,1,3,1,0,2,18,32,7
540,Swadloon,0,86,26,38,62,27,50,21,4,0,3,1,3,1,0,4,52,15,3
541,Leavanny,0,152,46,74,53,45,50,68,4,0,9,1,3,1,0,12,123,5,1
542,Venipede,0,22,5,20,33,8,12,34,4,0,7,1,3,1,0,3,37,32,7
543,Whirlipede,0,78,12,30,66,17,49,26,4,0,4,1,3,1,0,12,247,15,6
544,Scolipede,0,142,31,72,61,31,40,85,4,0,7,1,3,1,0,25,357,5,7
545,Cottonee,9,33,12,8,34,14,22,43,4,0,3,1,3,7,0,2,3,26,6
546,Whimsicott,9,137,31,42,57,52,45,89,4,0,3,1,3,7,0,6,48,11,1
547,Petilil,9,33,17,12,24,45,22,10,4,0,3,1,0,7,0,4,48,26,4
548,Lilligant,9,137,41,35,48,78,45,66,4,0,3,1,0,7,0,11,102,11,4
549,Basculin,17,122,41,66,39,55,27,72,4,0,3,1,3,13,0,10,109,2,13
550,Sandile,10,39,21,47,11,12,8,42,4,0,2,1,3,5,0,6,97,25,9
551,Krokorok,10,74,31,56,20,22,18,51,4,0,2,1,3,5,0,10,176,13,9
552,Krookodile,10,161,63,84,53,41,41,68,4,0,7,1,3,5,0,15,308,5,0
553,Darumaka,6,55,41,64,20,1,18,29,4,0,7,1,3,5,0,5,190,15,1
554,Darmanitan,6,137,70,95,29,8,27,70,4,0,7,1,3,5,0,13,303,8,9
555,Maractus,9,123,46,60,41,74,39,37,4,0,3,1,3,7,0,10,155,32,4
556,Dwebble,0,61,21,40,57,12,8,32,4,0,7,1,3,1,0,2,94,26,7
557,Crustle,0,135,41,69,82,41,45,24,4,0,7,1,3,1,0,14,356,11,7
558,Scraggy,1,71,21,50,44,12,41,27,4,0,9,1,3,5,0,5,84,25,0
559,Scrafty,1,144,36,64,75,22,75,35,4,0,7,1,3,5,0,11,163,13,0
560,Sigilyph,14,146,43,33,53,71,50,71,4,0,0,1,3,6,0,14,92,5,12
561,Yamask,8,45,10,10,57,31,37,10,4,0,0,1,3,9,0,4,10,26,3
562,Cofagrigus,8,140,29,25,89,66,69,10,4,0,9,1,3,9,0,17,273,13,4
563,Tirtouga,17,76,25,53,69,29,18,4,4,0,1,1,6,12,0,6,103,5,9
564,Carracosta,17,148,45,79,86,57,37,12,4,0,1,1,6,12,0,12,281,5,0
565,Archen,15,93,26,82,20,49,18,47,4,0,9,1,6,6,0,4,70,5,12
566,Archeops,15,176,46,95,39,80,37,83,4,0,9,1,6,6,0,14,169,5,12
567,Trubbish,13,63,21,25,36,17,34,42,4,0,3,1,3,9,0,5,166,26,1
568,Garbodor,13,134,51,69,54,36,52,52,4,0,3,1,3,9,0,19,319,8,1
569,Zorua,1,64,12,40,15,55,13,42,4,0,4,1,6,5,0,6,87,11,9
570,Zoroark,1,157,31,76,34,84,32,79,4,0,4,1,6,5,0,16,282,5,0
571,Minccino,12,43,26,25,15,17,13,52,4,0,4,1,2,5,0,3,41,32,9
572,Cinccino,12,130,46,69,34,41,32,88,4,0,4,1,2,5,0,4,54,8,9
573,Gothita,14,38,17,10,24,31,37,24,4,0,6,1,2,8,0,3,41,27,1
574,Gothorita,14,90,31,20,44,50,54,32,4,0,6,1,2,8,0,6,109,14,1
575,Gothitelle,14,146,41,30,64,66,73,42,4,0,6,1,2,8,0,15,210,6,1
576,Solosis,14,38,17,10,15,73,22,3,4,0,3,1,3,0,0,2,6,27,6
577,Duosion,14,83,36,15,24,85,32,10,4,0,3,1,3,0,0,5,59,14,6
578,Reuniclus,14,146,74,40,48,85,54,10,4,0,3,1,3,0,0,10,120,6,3
579,Ducklett,17,47,33,19,24,21,22,32,4,0,1,1,3,12,0,4,39,26,12
580,Swanna,17,133,46,61,37,60,35,72,4,0,8,1,3,12,0,13,141,5,12
581,Vanillite,11,47,8,25,24,41,32,23,4,0,8,1,3,9,0,3,40,32,4
582,Vanillish,11,91,22,40,39,55,45,36,4,0,8,1,3,9,0,11,203,15,4
583,Vanilluxe,11,170,42,69,57,78,62,56,4,0,8,1,3,9,0,13,245,5,8
584,Deerling,12,66,31,35,24,17,22,52,4,0,9,1,3,5,0,5,115,26,9
585,Sawsbuck,12,135,51,72,44,36,41,70,4,0,2,1,3,5,0,19,302,11,9
586,Emolga,3,106,26,50,34,50,32,77,4,0,8,1,3,5,0,3,35,27,9
587,Karrablast,0,55,21,50,20,17,18,37,4,0,1,1,3,1,0,4,42,27,1
588,Escavalier,0,148,41,94,70,36,69,3,4,0,4,1,3,1,0,10,174,11,3
589,Foongus,9,40,40,30,20,31,27,2,4,0,8,1,3,7,0,1,6,26,3
590,Amoonguss,9,125,76,59,44,58,50,10,4,0,4,1,3,7,0,5,77,11,3
591,Frillish,17,66,26,15,24,41,54,19,4,0,8,1,3,0,0,12,174,26,11
592,Jellicent,17,137,66,35,44,58,69,37,4,0,8,1,3,0,0,22,332,8,11
593,Alomomola,17,130,89,50,53,17,18,42,4,0,5,1,3,12,0,12,168,11,13
594,Joltik,0,58,21,22,24,33,22,42,4,0,9,1,3,1,0,0,3,26,7
595,Galvantula,0,132,41,52,34,67,32,81,4,0,9,1,3,1,0,7,93,11,7
596,Ferroseed,9,47,16,25,63,4,55,1,4,0,4,1,3,7,0,5,112,32,6
597,Ferrothorn,9,145,45,68,85,30,76,3,4,0,4,1,3,7,0,10,321,13,11
598,Klink,16,43,12,30,44,22,32,10,4,0,4,0,4,9,0,2,126,18,8
599,Klang,16,111,31,54,64,45,54,29,4,0,4,0,4,9,0,5,228,8,8
600,Klinklang,16,162,31,72,75,45,54,66,4,0,4,0,4,9,0,5,281,3,8
601,Tynamo,3,31,7,30,15,22,13,37,4,0,8,1,3,0,0,1,1,26,13
602,Eelektrik,3,94,36,59,44,50,41,19,4,0,1,1,3,0,0,12,131,8,13
603,Eelektross,3,159,56,83,53,73,50,29,4,0,1,1,3,0,0,21,280,3,13
604,Elgyem,14,66,26,30,29,58,27,10,4,0,4,1,3,8,0,4,67,32,0
